Species,Replaced Location,Week
Black Hornbill ,Pulau Ubin,40
Little Grebe,Lorong Halus,40
Barred Eagle-Owl,Bukit Timah,40
Barred Eagle-Owl,Bukit Timah,40
Black Hornbill ,Pulau Ubin,40
Little Grebe,Lorong Halus,40
Little Grebe,Lorong Halus,40
Black Hornbill ,Pulau Ubin,40
Barred Eagle-Owl,Bukit Timah,40
Black Hornbill ,Pulau Ubin,41
Barred Eagle-Owl,Bukit Timah,41
Little Grebe,Lorong Halus,41
Barred Eagle-Owl,Bukit Timah,41
Black Hornbill ,Pulau Ubin,41
Little Grebe,Lorong Halus,41
Barred Eagle-Owl,Bukit Timah,41
Black Hornbill ,Pulau Ubin,41
Chinese Egret ,Pulau Tekong,41
Little Grebe,Lorong Halus,41
Black Hornbill ,Pulau Ubin,41
Northern Boobook,-,41
Barred Eagle-Owl,Bukit Timah,41
Little Grebe,Lorong Halus,41
Chinese Egret ,Pulau Tekong,41
Black Hornbill ,Pulau Ubin,41
Barred Eagle-Owl,Bukit Timah,41
Chinese Egret ,Pulau Tekong,41
Little Grebe,Lorong Halus,41
Barred Eagle-Owl,Bukit Timah,41
Eurasian Curlew,Pulau Tekong,41
Black Hornbill ,Pulau Ubin,41
Chinese Egret ,Pulau Tekong,41
Common Tern,Singapore Straits,41
Little Grebe,Lorong Halus,41
Chinese Egret ,Pulau Tekong,41
Black Hornbill ,Pulau Ubin,41
Common Tern,Singapore Straits,41
Gull-billed Tern,Pulau Ubin,41
Little Grebe,Lorong Halus,41
Long-tailed Jaeger,Singapore Straits,41
Parasitic Jaeger,Singapore Straits,41
Barred Eagle-Owl,Bukit Timah,41
Black Hornbill ,Pulau Ubin,42
Chinese Egret ,Pulau Tekong,42
Little Grebe,Lorong Halus,42
Barred Eagle-Owl,Bukit Timah,42
Little Grebe,Lorong Halus,42
Chinese Egret ,Pulau Tekong,42
Barred Eagle-Owl,Bukit Timah,42
Black Hornbill ,Pulau Ubin,42
Little Grebe,Lorong Halus,42
Barred Eagle-Owl,Bukit Timah,42
Chinese Egret ,Pulau Tekong,42
Black Hornbill ,Pulau Ubin,42
Black Hornbill ,Pulau Ubin,42
Barred Eagle-Owl,Bukit Timah,42
Chinese Egret ,Pulau Tekong,42
Little Grebe,Lorong Halus,42
Chinese Egret ,Pulau Tekong,42
Little Grebe,Pulau Ubin,42
Barred Eagle-Owl,Bukit Timah,42
Little Grebe,Lorong Halus,42
Black Hornbill ,Pulau Ubin,42
Little Grebe,Pulau Ubin,42
Common Moorhen,Lim Chu Kang,42
Chinese Egret ,Pulau Tekong,42
Little Grebe,Lorong Halus,42
Black Hornbill ,Pulau Ubin,42
Barred Eagle-Owl,Bukit Timah,42
Little Grebe,Lorong Halus,42
Black Hornbill ,Pulau Ubin,42
Little Grebe,Pulau Ubin,42
Barred Eagle-Owl,Bukit Timah,42
Black-winged Flycatcher-shrike,Pulau Ubin,42
Common Moorhen,Lim Chu Kang,42
Chinese Egret ,Pulau Tekong,42
Common Moorhen,Lim Chu Kang,43
Little Grebe,Pulau Ubin,43
Barred Eagle-Owl,Bukit Timah,43
Large Woodshrike,CCNR,43
Black Hornbill ,Pulau Ubin,43
Chinese Egret ,Pulau Tekong,43
Little Grebe,Lorong Halus,43
Barred Eagle-Owl,Bukit Timah,43
Little Grebe,Lorong Halus,43
Black Hornbill ,Pulau Ubin,43
Chinese Egret ,Pulau Tekong,43
Common Moorhen,Lim Chu Kang,43
Little Grebe,Pulau Ubin,43
Chinese Egret ,Pulau Tekong,43
Common Moorhen,Lim Chu Kang,43
Little Grebe,Pulau Ubin,43
Little Grebe,Lorong Halus,43
Black Hornbill ,Pulau Ubin,43
Barred Eagle-Owl,Bukit Timah,43
Chinese Egret ,Pulau Tekong,43
Little Grebe,Pulau Ubin,43
Little Grebe,Lorong Halus,43
Barred Eagle-Owl,Bukit Timah,43
Common Moorhen,Lim Chu Kang,43
