Species,Date ,Location
Amur Falcon,26-Nov-17,Changi Coast
Amur Falcon,16-Dec-16,Seletar Dam
Amur Stonechat,11-Apr-21,Raffles Marina
Ashy Drongo,18-Nov-18,Kranji Marshes
Ashy Drongo,18-Mar-23,Mount Faber Park
Ashy Drongo,2-Aug-23,Nanyang Technological University
Ashy Drongo,8-Dec-16,Old Bidadari cemetery
Ashy Drongo,12-May-23,Pulau Ubin
Ashy Drongo,6-Jun-18,Punggol Promenade Nature Walk
Ashy Drongo,6-Mar-23,Singapore Botanic Gardens
Ashy Drongo,24-Mar-19,Telok Blangah Hill Park
Asian Dowitcher,28-Aug-22,Marina East Drive
Asian Dowitcher,16-Sep-23,New reclamation land at P. Tekong
Asian Dowitcher,1-Sep-16,Pulau Tekong
Asian Dowitcher,9-Sep-17,Pulau Tekong
Asian Dowitcher,3-Oct-18,Pulau Tekong
Asian Dowitcher,3-Sep-23,Sungei Buloh Wetland Reserve
Asian Openbill,16-Jan-19,Turut Track
Band-bellied Crake,28-Apr-19,Temasek Polytechnic
Barn Swallow,14-Dec-21,Gardens by the Bay
Barn Swallow,11-Nov-22,Kranji Marshes
Barn Swallow,21-Mar-21,Kranji Marshes
Barn Swallow,14-Dec-21,Marina East Drive
Barn Swallow,21-Dec-19,Neo Tiew Harvest Lane
Barn Swallow,12-Dec-21,Neo Tiew Harvest Lane
Barn Swallow,7-Jan-22,Neo Tiew Harvest Lane
Barn Swallow,2-Dec-23,Pasir Ris Farmway 3
Barn Swallow,12-Nov-21,Sembawang
Barn Swallow,7-Nov-22,Sungei Tengah
Barn Swallow,7-Nov-22,Sungei Tengah
Barn Swallow,6-Oct-20,Turut Track
Barn Swallow,6-Apr-21,Turut Track
Barn Swallow,22-Dec-21,Turut Track
Barn Swallow,8-Jan-22,Turut Track
Barred Eagle-Owl,20-Apr-23,Bukit Batok Nature Park
Barred Eagle-Owl,27-Apr-19,Bukit Brown Cemetery
Barred Eagle-Owl,31-Oct-16,Bukit Timah Nature Reserve
Barred Eagle-Owl,9-May-23,Central Catchment Nature Reserve
Barred Eagle-Owl,1-Apr-20,Dairy Farm Nature Park
Barred Eagle-Owl,28-Dec-21,Labrador Nature Reserve
Barred Eagle-Owl,31-Jul-15,Pulau Ubin
Barred Eagle-Owl,16-Sep-18,Pulau Ubin
Barred Eagle-Owl,7-Apr-19,Pulau Ubin
Barred Eagle-Owl,9-Oct-21,Rifle Range Link
Barred Eagle-Owl,22-Jan-22,Rifle Range Link
Barred Eagle-Owl,17-Feb-22,Rifle Range link
Barred Eagle-Owl,16-Sep-23,Rifle Range Link
Barred Eagle-Owl,18-May-19,Seletar Expressway
Barred Eagle-Owl,23-Jul-22,Singapore Quarry
Barred Eagle-Owl,16-Jun-23,Singapore Quarry
Barred Eagle-Owl,16-Jul-23,Singapore Quarry
Barred Eagle-Owl,2-Aug-19,Tree Top Walk
Barred Eagle-Owl,22-Oct-19,Windsor Nature Park
Bat Hawk,3-Dec-22,Neo Tiew Harvest Lane
Besra,15-Mar-18,Henderson Waves
Besra,8-Nov-20,Henderson Waves
Besra,9-Nov-20,Henderson Waves
Besra,6-Nov-22,Henderson waves
Besra,18-Oct-19,Jelutong Tower
Besra,16-Nov-22,Mount Faber Park
Besra,3-Nov-19,Singapore Quarry
Besra,13-Nov-15,Sister's Island
Besra,18-Nov-17,Telok Blangah Hill Park
Besra,17-Oct-22,Telok Blangah Hill Park
Besra/Shikra,31-Oct-19,Henderson Waves
Besra/Shikra,4-Nov-22,Telok Blangah
Black Drongo,8-Nov-20,Marina South Drive
Black Drongo,20-Dec-17,Pasir Ris Park
Black Drongo,19-Dec-17,Seletar Airport
Black Drongo,19-Oct-17,Sungei Buloh Wetland Reserve
Black Drongo,10-Nov-21,Tanah Merah Coast Road
Black Drongo,1-Nov-21,Tuas South
Black Hornbill ,27-Jan-16,Pulau Ubin
Black Hornbill ,31-May-23,Pulau Ubin
Black Hornbill ,18-Feb-22,Woodlands Waterfront Park
Black-and-red Broadbill,24-Aug-17,Pulau Ubin
Black-and-red Broadbill,28-Jul-22,Pulau Ubin
Black-and-red Broadbill,25-Apr-23,Pulau Ubin
Black-and-red Broadbill,2-Jul-23,Pulau Ubin
Black-and-red Broadbill,20-Mar-19,Sungei Buloh Wetland Reserve
Black-and-red Broadbill,24-Jun-23,Sungei Buloh Wetland Reserve
Black-backed Swamphen,20-Jul-22,Changi Business Park
Black-headed Gull,5-Dec-20,Marina East Drive
Black-headed Gull,1-Jan-17,Pulau Ubin
Black-headed Gull,4-Feb-18,Pulau Ubin
Black-headed Gull,18-Dec-22,Sungei Buloh Wetland Reserve
Black-headed Gull,19-Dec-21,Sungei Buloh Wetlands Reserve
Black-naped Monarch,20-Mar-21,Clementi Woods Park
Black-naped Monarch,15-Mar-21,Jurong Lake Gardens
Black-naped Monarch,25-Jan-21,Pulau Ubin
Black-naped Oriole,21-Feb-21,Hampstead Park
Black-naped Oriole,30-Jan-22,Pulau Ubin
Black-tailed Godwit,5-Oct-16,Pulau Tekong
Black-tailed Godwit,5-Aug-17,Pulau Tekong
Black-tailed Godwit,13-Aug-16,Seletar Dam (Yishun Dam)
Black-tailed Godwit,29-Aug-18,Sungei Buloh Wetland Reserve
Black-tailed Godwit,14-Aug-21,Sungei Buloh Wetland Reserve
Black-tailed Godwit,9-Sep-23,Sungei Buloh Wetlands Reserve
Black-thighed Falconet,30-May-21,Goldhill
Black-thighed Falconet,18-Jun-22,Lorong Halus Wetlands
Black-thighed Falconet,29-Jul-23,Pasir Ris Farmway 1
Black-thighed Falconet,28-Dec-23,Punggol Seventeenth Avenue
Black-thighed Falconet,12-Feb-21,Yishun Dam
Black-winged Flycatcher-shrike,20-Jan-18,Central Catchment Nature Reserve
Black-winged Flycatcher-shrike,21-Jun-21,Chek Jawa Wetlands
Black-winged Flycatcher-shrike,17-Feb-24,Chek Jawa Wetlands
Black-winged Flycatcher-shrike,22-Apr-19,Dairy Farm Nature Park
Black-winged Flycatcher-shrike,2-Nov-22,Dairy farm Nature Park
Black-winged Flycatcher-shrike,28-Jun-15,Pulau Ubin
Black-winged Flycatcher-shrike,6-May-18,Pulau Ubin
Black-winged Flycatcher-shrike,24-Sep-18,Pulau Ubin
Black-winged Flycatcher-shrike,21-Oct-18,Pulau Ubin
Black-winged Flycatcher-shrike,22-Jun-19,Pulau Ubin
Black-winged Flycatcher-shrike,5-Nov-21,Pulau Ubin
Black-winged Stilt ,16-Feb-20,Jurong Lake Gardens
Black-winged Stilt ,1-Nov-15,Kranji Marshes
Black-winged Stilt ,5-Jun-22,Marina East Drive
Black-winged Stilt ,21-Nov-21,Marina East Drive
Black-winged Stilt ,1-Jan-23,Marina East Drive
Black-winged Stilt ,17-Jun-23,Pasir Ris Farmway 1
Black-winged Stilt ,14-Sep-20,Pulau Tekong
Black-winged Stilt ,16-Apr-22,Sg Buloh Wetlands Reserve
Black-winged Stilt ,3-Dec-23,Sungai Buloh Wetland Reserve
Black-winged Stilt ,8-Aug-22,Sungei Buloh Wetland Reserve
Black-winged Stilt ,13-Oct-22,Tuas South
Black-winged Stilt ,5-Aug-22,Yishun Dam
Black-winged/Pied Stilt,3-May-22,Changi Bay
Black-winged/Pied Stilt,8-Jul-23,Pulau Tekong
Blue Rock Thrush,31-Jan-23,Central Business District
Blue Rock Thrush,4-Dec-23,Central Business District
Blue Rock Thrush,8-Jan-18,Labrador Nature Reserve
Blue Rock Thrush,15-Nov-18,Labrador Villa Road
Blue Rock Thrush,6-Nov-16,Marina East Drive
Blue Rock Thrush,27-Sep-17,Marina East Drive
Blue Rock Thrush,2-Sep-15,Pinnacle@Duxton
Blue Rock Thrush,21-Jan-22,Pinnacle@Duxton
Blue Rock Thrush,9-Nov-23,Pinnacle@Duxton
Blue Rock Thrush,29-Dec-21,Pinnacle@Duxton
Blue Rock Thrush,26-Nov-21,Sentosa
Blue Rock Thrush,2-Nov-17,Sentosa Island
Blue Rock Thrush,19-Mar-21,Singapore Polo Club
