bird,park,count
Amur Falcon,Changi Coast,1.0
Amur Falcon,Seletar Dam,1.0
Amur Stonechat,Raffles Marina,1.0
Ashy Drongo,Kranji Marshes,1.0
Ashy Drongo,Mount Faber Park,1.0
Ashy Drongo,Nanyang Technological University,1.0
Ashy Drongo,Old Bidadari cemetery,1.0
Ashy Drongo,Pulau Ubin,1.0
Ashy Drongo,Punggol Promenade Nature Walk,1.0
Ashy Drongo,Singapore Botanic Gardens,1.0
Ashy Drongo,Telok Blangah Hill Park,1.0
Asian Dowitcher,Marina East Drive,1.0
Asian Dowitcher,New reclamation land at P. Tekong,1.0
Asian Dowitcher,Pulau Tekong,3.0
Asian Dowitcher,Sungei Buloh Wetland Reserve,1.0
Asian Openbill,Turut Track,1.0
Band-bellied Crake,Temasek Polytechnic,1.0
Barn Swallow,Gardens by the Bay,1.0
Barn Swallow,Kranji Marshes,2.0
Barn Swallow,Marina East Drive,1.0
Barn Swallow,Neo Tiew Harvest Lane,3.0
Barn Swallow,Pasir Ris Farmway 3,1.0
Barn Swallow,Sembawang,1.0
Barn Swallow,Sungei Tengah,2.0
Barn Swallow,Turut Track,4.0
Barred Eagle-Owl,Bukit Batok Nature Park,1.0
Barred Eagle-Owl,Bukit Brown Cemetery,1.0
Barred Eagle-Owl,Bukit Timah Nature Reserve,1.0
Barred Eagle-Owl,Central Catchment Nature Reserve,1.0
Barred Eagle-Owl,Dairy Farm Nature Park,1.0
Barred Eagle-Owl,Labrador Nature Reserve,1.0
Barred Eagle-Owl,Pulau Ubin,3.0
Barred Eagle-Owl,Rifle Range Link,3.0
Barred Eagle-Owl,Rifle Range link,1.0
Barred Eagle-Owl,Seletar Expressway,1.0
Barred Eagle-Owl,Singapore Quarry,3.0
Barred Eagle-Owl,Tree Top Walk,1.0
Barred Eagle-Owl,Windsor Nature Park,1.0
Bat Hawk,Neo Tiew Harvest Lane,1.0
Besra,Henderson Waves,3.0
Besra,Henderson waves,1.0
Besra,Jelutong Tower,1.0
Besra,Mount Faber Park,1.0
Besra,Singapore Quarry,1.0
Besra,Sister's Island,1.0
Besra,Telok Blangah Hill Park,2.0
Besra/Shikra,Henderson Waves,1.0
Besra/Shikra,Telok Blangah,1.0
Black Drongo,Marina South Drive,1.0
Black Drongo,Pasir Ris Park,1.0
Black Drongo,Seletar Airport,1.0
Black Drongo,Sungei Buloh Wetland Reserve,1.0
Black Drongo,Tanah Merah Coast Road,1.0
Black Drongo,Tuas South,1.0
Black Hornbill ,Pulau Ubin,2.0
Black Hornbill ,Woodlands Waterfront Park,1.0
Black-and-red Broadbill,Pulau Ubin,4.0
Black-and-red Broadbill,Sungei Buloh Wetland Reserve,2.0
Black-backed Swamphen,Changi Business Park,1.0
Black-headed Gull,Marina East Drive,1.0
Black-headed Gull,Pulau Ubin,2.0
Black-headed Gull,Sungei Buloh Wetland Reserve,1.0
Black-headed Gull,Sungei Buloh Wetlands Reserve,1.0
Black-naped Monarch,Clementi Woods Park,1.0
Black-naped Monarch,Jurong Lake Gardens,1.0
Black-naped Monarch,Pulau Ubin,1.0
Black-naped Oriole,Hampstead Park,1.0
Black-naped Oriole,Pulau Ubin,1.0
Black-tailed Godwit,Pulau Tekong,2.0
Black-tailed Godwit,Seletar Dam (Yishun Dam),1.0
Black-tailed Godwit,Sungei Buloh Wetland Reserve,2.0
Black-tailed Godwit,Sungei Buloh Wetlands Reserve,1.0
Black-thighed Falconet,Goldhill,1.0
Black-thighed Falconet,Lorong Halus Wetlands,1.0
Black-thighed Falconet,Pasir Ris Farmway 1,1.0
Black-thighed Falconet,Punggol Seventeenth Avenue,1.0
Black-thighed Falconet,Yishun Dam,1.0
Black-winged Flycatcher-shrike,Central Catchment Nature Reserve,1.0
Black-winged Flycatcher-shrike,Chek Jawa Wetlands,2.0
Black-winged Flycatcher-shrike,Dairy Farm Nature Park,1.0
Black-winged Flycatcher-shrike,Dairy farm Nature Park,1.0
Black-winged Flycatcher-shrike,Pulau Ubin,6.0
Black-winged Stilt ,Jurong Lake Gardens,1.0
Black-winged Stilt ,Kranji Marshes,1.0
Black-winged Stilt ,Marina East Drive,3.0
Black-winged Stilt ,Pasir Ris Farmway 1,1.0
Black-winged Stilt ,Pulau Tekong,1.0
Black-winged Stilt ,Sg Buloh Wetlands Reserve,1.0
Black-winged Stilt ,Sungai Buloh Wetland Reserve,1.0
Black-winged Stilt ,Sungei Buloh Wetland Reserve,1.0
Black-winged Stilt ,Tuas South,1.0
Black-winged Stilt ,Yishun Dam,1.0
Black-winged/Pied Stilt,Changi Bay,1.0
Black-winged/Pied Stilt,Pulau Tekong,1.0
Blue Rock Thrush,Central Business District,2.0
Blue Rock Thrush,Labrador Nature Reserve,1.0
Blue Rock Thrush,Labrador Villa Road,1.0
Blue Rock Thrush,Marina East Drive,2.0
Blue Rock Thrush,Pinnacle@Duxton,4.0
Blue Rock Thrush,Sentosa,1.0
Blue Rock Thrush,Sentosa Island,1.0
Blue Rock Thrush,Singapore Polo Club,1.0
Blue Rock Thrush,SkyParc@Dawson,2.0
Blue Rock Thrush,Strathmore Avenue,1.0
Blue Rock Thrush,Tanjong Pagar,1.0
Blue Rock Thrush,Tuas South,1.0
Blue-and-white Flycatcher,Central Catchment Nature Reserve,1.0
Blue-and-white Flycatcher,National University of Singapore,1.0
Blue-and-white Flycatcher,Pasir Ris Park,1.0
Blue-and-white Flycatcher,Singapore Botanic Gardens,1.0
Booted Eagle,Bukit Timah Nature Reserve,1.0
Booted Eagle,Changi Business Park,1.0
Booted Eagle,Coney Island,1.0
Booted Eagle,Henderson Waves,5.0
Booted Eagle,Jurong Lake Gardens,1.0
Booted Eagle,Lorong Halus Wetlands,1.0
Booted Eagle,Mount Faber Park,2.0
Booted Eagle,Nanyang Technological University,1.0
Booted Eagle,Pasir Ris Park,1.0
Booted Eagle,Pulau Punggol,1.0
Booted Eagle,Pulau Ubin,1.0
Booted Eagle,Singapore Botanic Gardens,1.0
Booted Eagle,Telok Blangah,1.0
Booted Eagle,Tuas South,1.0
Broad-billed Sandpiper,Marina East Drive,1.0
Broad-billed Sandpiper,Pulau Tekong,1.0
Broad-billed Sandpiper,Sungei Buloh Wetland Reserve,3.0
Broad-billed Sandpiper,Tuas South,1.0
Brown Booby,Singapore Straits,1.0
Brown-backed Needletail,Bukit Timah Nature Reserve,2.0
Brown-backed Needletail,Henderson Waves,1.0
Brown-backed Needletail,Mount Faber Park,3.0
Brown-breasted Flycatcher,Dairy Farm Nature Park,1.0
Buff-rumped Woodpecker,Bidadari Park,1.0
Buff-rumped Woodpecker,Pulau Ubin,2.0
Buff-rumped Woodpecker,Sime Track,1.0
Bulwer's Petrel,Straits of Singapore,3.0
Caspian Tern,Mandai Mudflats,1.0
Chestnut-cheeked Starling,Dover Road,1.0
Chestnut-cheeked Starling,Henderson Waves,1.0
Chestnut-cheeked Starling,Jurong Lake Gardens,1.0
Chestnut-cheeked Starling,Pandan Reservoir,1.0
Chestnut-cheeked Starling,The Grandstand,2.0
Chinese Blue Flycatcher,Dairy Farm Nature Park,1.0
Chinese Blue Flycatcher,Jurong Lake Gardens,1.0
Chinese Egret ,Chek Jawa Wetlands,1.0
Chinese Egret ,Pulau Tekong,4.0
Chinese Egret ,Sungei Buloh Wetland Reserve,2.0
Christmas Frigatebird,Marina East Drive,1.0
Christmas Frigatebird,Sungai Buloh Wetland Reserve,1.0
Cinnamon-headed Green Pigeon,Central Catchment Nature Reserve,2.0
Cinnamon-headed Green Pigeon,Jelutong Tower,1.0
Cinnamon-headed Green Pigeon,Jurong Lake Gardens,2.0
Cinnamon-headed Green Pigeon,National University of Singapore,1.0
Cinnamon-headed Green Pigeon,Pasir Ris Park,2.0
Cinnamon-headed Green Pigeon,Pulau Ubin,7.0
Cinnamon-headed Green Pigeon,"Ubin, West",1.0
Common Buzzard,Henderson Waves,1.0
Common Buzzard,Mount Faber Park,1.0
Common Kestrel,Changi Bay,1.0
Common Kestrel,Henderson Waves,3.0
Common Kestrel,Kranji Marshes,1.0
Common Kestrel,Lazarus Island,1.0
Common Kestrel,Marina East Drive,1.0
Common Kestrel,Mount Faber Park,3.0
Common Kestrel,Redhil CL,1.0
Common Kestrel,Seletar Aerospace Crescent,1.0
Common Kestrel,Tuas South,6.0
Common Swift,Henderson Waves,1.0
Common Swift,Jelutong Tower,1.0
Common Swift,Pasir Panjang Canal,1.0
Common Tern,Pelagic - Straits of Singapore,1.0
Common Tern,SG - Batam Ferry,1.0
Common Tern,Singapore Strait,1.0
Common Tern,Singapore Straits,10.0
Common Tern,Singapore Waters Pelagic: second hour,1.0
Cotton Pygmy Goose,Bishan-Ang Mo Kio Park,1.0
Cotton Pygmy Goose,Hampstead Park,1.0
Cotton Pygmy Goose,MacRitchie Reservoir Park,1.0
Cotton Pygmy Goose,Singapore Botanic Gardens,1.0
Dusky Warbler,Bishan-Ang Mo Kio Park,1.0
Dusky Warbler,Sungai Buloh Wetland Reserve,1.0
Eastern Buzzard,Mount Faber Park,2.0
Eastern Imperial Eagle,Mount Faber Park,1.0
Eurasian Curlew,Chek Jawa Wetlands,1.0
Eurasian Curlew,Marina East Drive,1.0
Eurasian Curlew,Mount Faber Park,1.0
Eurasian Curlew,P. Tekong,1.0
Eurasian Curlew,Pulau Tekong,4.0
Eurasian Curlew,Singapore Strait,1.0
Eurasian Curlew,Sungei Buloh Wetland Reserve,1.0
