bird,park,count,count_datetime
Amur Falcon,Changi Coast,1.0,26-Nov-17
Amur Falcon,Seletar Dam,1.0,16-Dec-16
Amur Stonechat,Raffles Marina,1.0,11-Apr-21
Ashy Drongo,Kranji Marshes,1.0,18-Nov-18
Ashy Drongo,Mount Faber Park,1.0,18-Mar-23
Ashy Drongo,Nanyang Technological University,1.0,2-Aug-23
Ashy Drongo,Old Bidadari cemetery,1.0,8-Dec-16
Ashy Drongo,Pulau Ubin,1.0,12-May-23
Ashy Drongo,Punggol Promenade Nature Walk,1.0,6-Jun-18
Ashy Drongo,Singapore Botanic Gardens,1.0,6-Mar-23
Ashy Drongo,Telok Blangah Hill Park,1.0,24-Mar-19
Asian Dowitcher,Marina East Drive,1.0,28-Aug-22
Asian Dowitcher,New reclamation land at P. Tekong,1.0,16-Sep-23
Asian Dowitcher,Pulau Tekong,3.0,1-Sep-16
Asian Dowitcher,Pulau Tekong,3.0,9-Sep-17
Asian Dowitcher,Pulau Tekong,3.0,3-Oct-18
Asian Dowitcher,Sungei Buloh Wetland Reserve,1.0,3-Sep-23
Asian Openbill,Turut Track,1.0,16-Jan-19
Band-bellied Crake,Temasek Polytechnic,1.0,28-Apr-19
Barn Swallow,Gardens by the Bay,1.0,14-Dec-21
Barn Swallow,Kranji Marshes,2.0,11-Nov-22
Barn Swallow,Kranji Marshes,2.0,21-Mar-21
Barn Swallow,Marina East Drive,1.0,14-Dec-21
Barn Swallow,Neo Tiew Harvest Lane,3.0,21-Dec-19
Barn Swallow,Neo Tiew Harvest Lane,3.0,12-Dec-21
Barn Swallow,Neo Tiew Harvest Lane,3.0,7-Jan-22
Barn Swallow,Pasir Ris Farmway 3,1.0,2-Dec-23
Barn Swallow,Sembawang,1.0,12-Nov-21
Barn Swallow,Sungei Tengah,2.0,7-Nov-22
Barn Swallow,Sungei Tengah,2.0,7-Nov-22
Barn Swallow,Turut Track,4.0,6-Oct-20
Barn Swallow,Turut Track,4.0,6-Apr-21
Barn Swallow,Turut Track,4.0,22-Dec-21
Barn Swallow,Turut Track,4.0,8-Jan-22
Barred Eagle-Owl,Bukit Batok Nature Park,1.0,20-Apr-23
Barred Eagle-Owl,Bukit Brown Cemetery,1.0,27-Apr-19
Barred Eagle-Owl,Bukit Timah Nature Reserve,1.0,31-Oct-16
Barred Eagle-Owl,Central Catchment Nature Reserve,1.0,9-May-23
Barred Eagle-Owl,Dairy Farm Nature Park,1.0,1-Apr-20
Barred Eagle-Owl,Labrador Nature Reserve,1.0,28-Dec-21
Barred Eagle-Owl,Pulau Ubin,3.0,31-Jul-15
Barred Eagle-Owl,Pulau Ubin,3.0,16-Sep-18
Barred Eagle-Owl,Pulau Ubin,3.0,7-Apr-19
Barred Eagle-Owl,Rifle Range Link,3.0,9-Oct-21
Barred Eagle-Owl,Rifle Range Link,3.0,22-Jan-22
Barred Eagle-Owl,Rifle Range Link,3.0,16-Sep-23
Barred Eagle-Owl,Rifle Range link,1.0,17-Feb-22
Barred Eagle-Owl,Seletar Expressway,1.0,18-May-19
Barred Eagle-Owl,Singapore Quarry,3.0,23-Jul-22
Barred Eagle-Owl,Singapore Quarry,3.0,16-Jun-23
Barred Eagle-Owl,Singapore Quarry,3.0,16-Jul-23
Barred Eagle-Owl,Tree Top Walk,1.0,2-Aug-19
Barred Eagle-Owl,Windsor Nature Park,1.0,22-Oct-19
Bat Hawk,Neo Tiew Harvest Lane,1.0,3-Dec-22
Besra,Henderson Waves,3.0,15-Mar-18
Besra,Henderson Waves,3.0,8-Nov-20
Besra,Henderson Waves,3.0,9-Nov-20
Besra,Henderson waves,1.0,6-Nov-22
Besra,Jelutong Tower,1.0,18-Oct-19
Besra,Mount Faber Park,1.0,16-Nov-22
Besra,Singapore Quarry,1.0,3-Nov-19
Besra,Sister's Island,1.0,13-Nov-15
Besra,Telok Blangah Hill Park,2.0,18-Nov-17
Besra,Telok Blangah Hill Park,2.0,17-Oct-22
Besra/Shikra,Henderson Waves,1.0,31-Oct-19
Besra/Shikra,Telok Blangah,1.0,4-Nov-22
Black Drongo,Marina South Drive,1.0,8-Nov-20
Black Drongo,Pasir Ris Park,1.0,20-Dec-17
Black Drongo,Seletar Airport,1.0,19-Dec-17
Black Drongo,Sungei Buloh Wetland Reserve,1.0,19-Oct-17
Black Drongo,Tanah Merah Coast Road,1.0,10-Nov-21
Black Drongo,Tuas South,1.0,1-Nov-21
Black Hornbill ,Pulau Ubin,2.0,27-Jan-16
Black Hornbill ,Pulau Ubin,2.0,31-May-23
Black Hornbill ,Woodlands Waterfront Park,1.0,18-Feb-22
Black-and-red Broadbill,Pulau Ubin,4.0,24-Aug-17
Black-and-red Broadbill,Pulau Ubin,4.0,28-Jul-22
Black-and-red Broadbill,Pulau Ubin,4.0,25-Apr-23
Black-and-red Broadbill,Pulau Ubin,4.0,2-Jul-23
Black-and-red Broadbill,Sungei Buloh Wetland Reserve,2.0,20-Mar-19
Black-and-red Broadbill,Sungei Buloh Wetland Reserve,2.0,24-Jun-23
Black-backed Swamphen,Changi Business Park,1.0,20-Jul-22
Black-headed Gull,Marina East Drive,1.0,5-Dec-20
Black-headed Gull,Pulau Ubin,2.0,1-Jan-17
Black-headed Gull,Pulau Ubin,2.0,4-Feb-18
Black-headed Gull,Sungei Buloh Wetland Reserve,1.0,18-Dec-22
Black-headed Gull,Sungei Buloh Wetlands Reserve,1.0,19-Dec-21
Black-naped Monarch,Clementi Woods Park,1.0,20-Mar-21
Black-naped Monarch,Jurong Lake Gardens,1.0,15-Mar-21
Black-naped Monarch,Pulau Ubin,1.0,25-Jan-21
Black-naped Oriole,Hampstead Park,1.0,21-Feb-21
Black-naped Oriole,Pulau Ubin,1.0,30-Jan-22
Black-tailed Godwit,Pulau Tekong,2.0,5-Oct-16
Black-tailed Godwit,Pulau Tekong,2.0,5-Aug-17
Black-tailed Godwit,Seletar Dam (Yishun Dam),1.0,13-Aug-16
Black-tailed Godwit,Sungei Buloh Wetland Reserve,2.0,29-Aug-18
Black-tailed Godwit,Sungei Buloh Wetland Reserve,2.0,14-Aug-21
Black-tailed Godwit,Sungei Buloh Wetlands Reserve,1.0,9-Sep-23
Black-thighed Falconet,Goldhill,1.0,30-May-21
Black-thighed Falconet,Lorong Halus Wetlands,1.0,18-Jun-22
Black-thighed Falconet,Pasir Ris Farmway 1,1.0,29-Jul-23
Black-thighed Falconet,Punggol Seventeenth Avenue,1.0,28-Dec-23
Black-thighed Falconet,Yishun Dam,1.0,12-Feb-21
Black-winged Flycatcher-shrike,Central Catchment Nature Reserve,1.0,20-Jan-18
Black-winged Flycatcher-shrike,Chek Jawa Wetlands,2.0,21-Jun-21
Black-winged Flycatcher-shrike,Chek Jawa Wetlands,2.0,17-Feb-24
Black-winged Flycatcher-shrike,Dairy Farm Nature Park,1.0,22-Apr-19
Black-winged Flycatcher-shrike,Dairy farm Nature Park,1.0,2-Nov-22
Black-winged Flycatcher-shrike,Pulau Ubin,6.0,28-Jun-15
Black-winged Flycatcher-shrike,Pulau Ubin,6.0,6-May-18
Black-winged Flycatcher-shrike,Pulau Ubin,6.0,24-Sep-18
Black-winged Flycatcher-shrike,Pulau Ubin,6.0,21-Oct-18
Black-winged Flycatcher-shrike,Pulau Ubin,6.0,22-Jun-19
Black-winged Flycatcher-shrike,Pulau Ubin,6.0,5-Nov-21
Black-winged Stilt ,Jurong Lake Gardens,1.0,16-Feb-20
Black-winged Stilt ,Kranji Marshes,1.0,1-Nov-15
Black-winged Stilt ,Marina East Drive,3.0,5-Jun-22
Black-winged Stilt ,Marina East Drive,3.0,21-Nov-21
Black-winged Stilt ,Marina East Drive,3.0,1-Jan-23
Black-winged Stilt ,Pasir Ris Farmway 1,1.0,17-Jun-23
Black-winged Stilt ,Pulau Tekong,1.0,14-Sep-20
Black-winged Stilt ,Sg Buloh Wetlands Reserve,1.0,16-Apr-22
Black-winged Stilt ,Sungai Buloh Wetland Reserve,1.0,3-Dec-23
Black-winged Stilt ,Sungei Buloh Wetland Reserve,1.0,8-Aug-22
Black-winged Stilt ,Tuas South,1.0,13-Oct-22
Black-winged Stilt ,Yishun Dam,1.0,5-Aug-22
Black-winged/Pied Stilt,Changi Bay,1.0,3-May-22
Black-winged/Pied Stilt,Pulau Tekong,1.0,8-Jul-23
Blue Rock Thrush,Central Business District,2.0,31-Jan-23
Blue Rock Thrush,Central Business District,2.0,4-Dec-23
Blue Rock Thrush,Labrador Nature Reserve,1.0,8-Jan-18
Blue Rock Thrush,Labrador Villa Road,1.0,15-Nov-18
Blue Rock Thrush,Marina East Drive,2.0,6-Nov-16
Blue Rock Thrush,Marina East Drive,2.0,27-Sep-17
Blue Rock Thrush,Pinnacle@Duxton,4.0,2-Sep-15
Blue Rock Thrush,Pinnacle@Duxton,4.0,21-Jan-22
Blue Rock Thrush,Pinnacle@Duxton,4.0,9-Nov-23
Blue Rock Thrush,Pinnacle@Duxton,4.0,29-Dec-21
Blue Rock Thrush,Sentosa,1.0,26-Nov-21
Blue Rock Thrush,Sentosa Island,1.0,2-Nov-17
Blue Rock Thrush,Singapore Polo Club,1.0,19-Mar-21
Blue Rock Thrush,SkyParc@Dawson,2.0,29-Dec-21
Blue Rock Thrush,SkyParc@Dawson,2.0,6-Jan-22
Blue Rock Thrush,Strathmore Avenue,1.0,28-Dec-22
Blue Rock Thrush,Tanjong Pagar,1.0,29-Dec-22
Blue Rock Thrush,Tuas South,1.0,3-Nov-19
Blue-and-white Flycatcher,Central Catchment Nature Reserve,1.0,18-Nov-20
Blue-and-white Flycatcher,National University of Singapore,1.0,15-Mar-22
Blue-and-white Flycatcher,Pasir Ris Park,1.0,20-Mar-23
Blue-and-white Flycatcher,Singapore Botanic Gardens,1.0,11-Jan-24
Booted Eagle,Bukit Timah Nature Reserve,1.0,10-Nov-19
Booted Eagle,Changi Business Park,1.0,6-Nov-16
Booted Eagle,Coney Island,1.0,23-Feb-20
Booted Eagle,Henderson Waves,5.0,17-Nov-16
Booted Eagle,Henderson Waves,5.0,13-Nov-17
Booted Eagle,Henderson Waves,5.0,23-Oct-19
Booted Eagle,Henderson Waves,5.0,3-Nov-19
Booted Eagle,Henderson Waves,5.0,10-Nov-20
Booted Eagle,Jurong Lake Gardens,1.0,6-Nov-16
Booted Eagle,Lorong Halus Wetlands,1.0,26-Dec-16
Booted Eagle,Mount Faber Park,2.0,6-Nov-21
Booted Eagle,Mount Faber Park,2.0,3-Nov-23
Booted Eagle,Nanyang Technological University,1.0,27-Oct-22
Booted Eagle,Pasir Ris Park,1.0,7-Jan-20
Booted Eagle,Pulau Punggol,1.0,20-Dec-20
Booted Eagle,Pulau Ubin,1.0,20-Dec-21
Booted Eagle,Singapore Botanic Gardens,1.0,21-Nov-19
Booted Eagle,Telok Blangah,1.0,4-Nov-22
Booted Eagle,Tuas South,1.0,23-Oct-16
Broad-billed Sandpiper,Marina East Drive,1.0,15-Sep-16
Broad-billed Sandpiper,Pulau Tekong,1.0,6-Oct-18
Broad-billed Sandpiper,Sungei Buloh Wetland Reserve,3.0,22-Sep-19
Broad-billed Sandpiper,Sungei Buloh Wetland Reserve,3.0,24-Sep-21
Broad-billed Sandpiper,Sungei Buloh Wetland Reserve,3.0,29-Sep-23
Broad-billed Sandpiper,Tuas South,1.0,9-Oct-22
Brown Booby,Singapore Straits,1.0,19-May-19
Brown-backed Needletail,Bukit Timah Nature Reserve,2.0,2-Jan-24
Brown-backed Needletail,Bukit Timah Nature Reserve,2.0,8-Jan-24
Brown-backed Needletail,Henderson Waves,1.0,10-Nov-23
Brown-backed Needletail,Mount Faber Park,3.0,14-Oct-23
Brown-backed Needletail,Mount Faber Park,3.0,17-Nov-22
Brown-backed Needletail,Mount Faber Park,3.0,24-Oct-23
Brown-breasted Flycatcher,Dairy Farm Nature Park,1.0,30-Oct-22
Buff-rumped Woodpecker,Bidadari Park,1.0,2-Mar-15
Buff-rumped Woodpecker,Pulau Ubin,2.0,5-Aug-18
Buff-rumped Woodpecker,Pulau Ubin,2.0,7-Mar-19
Buff-rumped Woodpecker,Sime Track,1.0,17-Mar-20
Bulwer's Petrel,Straits of Singapore,3.0,12-Nov-16
Bulwer's Petrel,Straits of Singapore,3.0,29-Apr-17
Bulwer's Petrel,Straits of Singapore,3.0,6-May-17
Caspian Tern,Mandai Mudflats,1.0,17-Nov-20
Chestnut-cheeked Starling,Dover Road,1.0,20-Mar-21
Chestnut-cheeked Starling,Henderson Waves,1.0,16-Nov-19
Chestnut-cheeked Starling,Jurong Lake Gardens,1.0,9-Feb-20
Chestnut-cheeked Starling,Pandan Reservoir,1.0,1-Nov-19
Chestnut-cheeked Starling,The Grandstand,2.0,4-Dec-20
Chestnut-cheeked Starling,The Grandstand,2.0,5-Dec-20
Chinese Blue Flycatcher,Dairy Farm Nature Park,1.0,29-Oct-22
Chinese Blue Flycatcher,Jurong Lake Gardens,1.0,11-Oct-20
Chinese Egret ,Chek Jawa Wetlands,1.0,1-Apr-23
Chinese Egret ,Pulau Tekong,4.0,6-Aug-16
Chinese Egret ,Pulau Tekong,4.0,21-Feb-18
Chinese Egret ,Pulau Tekong,4.0,23-Mar-19
Chinese Egret ,Pulau Tekong,4.0,6-Feb-21
Chinese Egret ,Sungei Buloh Wetland Reserve,2.0,13-Sep-18
Chinese Egret ,Sungei Buloh Wetland Reserve,2.0,6-Oct-19
Christmas Frigatebird,Marina East Drive,1.0,26-Jan-22
Christmas Frigatebird,Sungai Buloh Wetland Reserve,1.0,7-May-23
Cinnamon-headed Green Pigeon,Central Catchment Nature Reserve,2.0,7-Nov-21
Cinnamon-headed Green Pigeon,Central Catchment Nature Reserve,2.0,18-Oct-23
Cinnamon-headed Green Pigeon,Jelutong Tower,1.0,18-Sep-21
Cinnamon-headed Green Pigeon,Jurong Lake Gardens,2.0,6-Dec-19
Cinnamon-headed Green Pigeon,Jurong Lake Gardens,2.0,7-Oct-22
Cinnamon-headed Green Pigeon,National University of Singapore,1.0,22-Mar-23
Cinnamon-headed Green Pigeon,Pasir Ris Park,2.0,26-Jan-16
Cinnamon-headed Green Pigeon,Pasir Ris Park,2.0,26-Jan-20
Cinnamon-headed Green Pigeon,Pulau Ubin,7.0,30-Dec-18
Cinnamon-headed Green Pigeon,Pulau Ubin,7.0,29-Jun-19
Cinnamon-headed Green Pigeon,Pulau Ubin,7.0,8-Dec-19
Cinnamon-headed Green Pigeon,Pulau Ubin,7.0,12-Jun-21
Cinnamon-headed Green Pigeon,Pulau Ubin,7.0,25-Jul-21
Cinnamon-headed Green Pigeon,Pulau Ubin,7.0,4-Dec-21
Cinnamon-headed Green Pigeon,Pulau Ubin,7.0,12-Jun-22
Cinnamon-headed Green Pigeon,Pulau Ubin,7.0,22-Apr-23
Cinnamon-headed Green Pigeon,"Ubin, West",1.0,20-May-19
Common Buzzard,Henderson Waves,1.0,29-Oct-23
Common Buzzard,Mount Faber Park,1.0,17-Nov-23
Common Kestrel,Changi Bay,1.0,5-Jan-24
Common Kestrel,Henderson Waves,3.0,24-Oct-20
Common Kestrel,Henderson Waves,3.0,29-Oct-20
Common Kestrel,Henderson Waves,3.0,9-Nov-20
Common Kestrel,Kranji Marshes,1.0,29-Nov-18
Common Kestrel,Lazarus Island,1.0,18-Nov-22
Common Kestrel,Marina East Drive,1.0,12-Dec-22
Common Kestrel,Mount Faber Park,3.0,6-Nov-21
Common Kestrel,Mount Faber Park,3.0,28-Oct-23
Common Kestrel,Mount Faber Park,3.0,14-Nov-21
Common Kestrel,Redhil CL,1.0,20-Jan-23
Common Kestrel,Seletar Aerospace Crescent,1.0,15-Jan-22
Common Kestrel,Tuas South,6.0,11-Oct-20
Common Kestrel,Tuas South,6.0,14-Nov-20
Common Kestrel,Tuas South,6.0,7-Nov-22
Common Kestrel,Tuas South,6.0,25-Dec-22
Common Kestrel,Tuas South,6.0,27-Jan-24
Common Kestrel,Tuas South,6.0,10-Dec-23
Common Swift,Henderson Waves,1.0,27-Oct-20
Common Swift,Jelutong Tower,1.0,9-Oct-20
Common Swift,Pasir Panjang Canal,1.0,10-Nov-22
Common Tern,Pelagic - Straits of Singapore,1.0,21-Sep-19
Common Tern,SG - Batam Ferry,1.0,17-Sep-19
Common Tern,Singapore Strait,1.0,16-Oct-22
Common Tern,Singapore Straits,10.0,18-Sep-16
Common Tern,Singapore Straits,10.0,15-Oct-16
Common Tern,Singapore Straits,10.0,21-Apr-18
Common Tern,Singapore Straits,10.0,30-Sep-18
Common Tern,Singapore Straits,10.0,28-Apr-19
Common Tern,Singapore Straits,10.0,24-Sep-22
Common Tern,Singapore Straits,10.0,23-Sep-23
Common Tern,Singapore Straits,10.0,28-Sep-19
Common Tern,Singapore Straits,10.0,18-Oct-20
Common Tern,Singapore Straits,10.0,26-Oct-20
Common Tern,Singapore Straits,10.0,4-Oct-20
Common Tern,Singapore Waters Pelagic: second hour,1.0,2-May-21
Cotton Pygmy Goose,Bishan-Ang Mo Kio Park,1.0,2-Mar-21
Cotton Pygmy Goose,Hampstead Park,1.0,28-Jan-19
Cotton Pygmy Goose,MacRitchie Reservoir Park,1.0,8-Dec-21
Cotton Pygmy Goose,Singapore Botanic Gardens,1.0,25-Nov-23
Dusky Warbler,Bishan-Ang Mo Kio Park,1.0,13-Jun-23
Dusky Warbler,Sungai Buloh Wetland Reserve,1.0,5-May-23
Eastern Buzzard,Mount Faber Park,2.0,12-Nov-23
Eastern Buzzard,Mount Faber Park,2.0,26-Mar-23
Eastern Imperial Eagle,Mount Faber Park,1.0,8-Nov-22
Eurasian Curlew,Chek Jawa Wetlands,1.0,17-Sep-23
Eurasian Curlew,Marina East Drive,1.0,5-Sep-23
Eurasian Curlew,Mount Faber Park,1.0,24-Oct-23
Eurasian Curlew,P. Tekong,1.0,15-Oct-22
Eurasian Curlew,Pulau Tekong,4.0,5-Aug-16
Eurasian Curlew,Pulau Tekong,4.0,22-Oct-16
Eurasian Curlew,Pulau Tekong,4.0,9-Mar-17
Eurasian Curlew,Pulau Tekong,4.0,13-Oct-18
Eurasian Curlew,Singapore Strait,1.0,23-Sep-23
Eurasian Curlew,Sungei Buloh Wetland Reserve,1.0,11-Oct-18
Eurasian Hobby,Henderson Waves,1.0,23-Oct-20
Eurasian Hobby,Mount Faber Park,1.0,30-Oct-23
Eurasian Sparrowhawk,Henderson Waves,2.0,17-Nov-16
Eurasian Sparrowhawk,Henderson Waves,2.0,26-Nov-17
Eurasian Sparrowhawk,Mapletree Business Park,1.0,10-Nov-22
Eurasian Sparrowhawk,Tampines Eco Green,1.0,11-Mar-18
Eurasian Sparrowhawk,Telok Blangah Hill,1.0,12-Nov-18
Eurasian Wigeon ,Kranji Marshes,1.0,23-Dec-18
Glossy Ibis,Lorong Halus Wetlands,1.0,9-May-22
Great Knot,Marina East Drive,1.0,27-Jan-21
Great Knot,Pulau Tekong,1.0,9-Sep-21
Great Knot,Pulau Ubin,2.0,6-Dec-17
Great Knot,Pulau Ubin,2.0,20-Jan-19
Great Knot,Sungei Buloh Wetland Reserve,1.0,1-Sep-16
Greater Sand Plover,East Coast Park,1.0,3-Sep-17
Greater Sand Plover,Pulau Tekong,3.0,31-Aug-16
Greater Sand Plover,Pulau Tekong,3.0,3-Jan-18
Greater Sand Plover,Pulau Tekong,3.0,3-Feb-20
Greater Sand Plover,Pulau Ubin,2.0,22-Sep-20
Greater Sand Plover,Pulau Ubin,2.0,19-Oct-20
Greater Sand Plover,Seletar Dam,1.0,30-Aug-23
Greater Sand Plover,Seletar Dam (Yishun Dam),2.0,14-Jul-17
Greater Sand Plover,Seletar Dam (Yishun Dam),2.0,7-Sep-17
Greater Sand Plover,Sungai Buloh Wetland Reserve,1.0,11-Sep-22
Greater Sand Plover,Yishun Dam,2.0,14-Aug-22
Greater Sand Plover,Yishun Dam,2.0,4-Sep-22
Green Sandpiper,Sungei Buloh Wetland Reserve,1.0,2-Nov-18
Grey-headed Lapwing,Holland Plain,1.0,27-Feb-23
Grey-headed Lapwing,Kranji Marshes,1.0,23-Oct-16
Grey-headed Lapwing,Marina East Drive,1.0,11-Mar-23
Grey-headed Lapwing,Neo Tiew Harvest Lane,2.0,16-Nov-19
Grey-headed Lapwing,Neo Tiew Harvest Lane,2.0,12-Dec-21
Grey-headed Lapwing,Singapore Botanic Gardens,1.0,16-Nov-15
Grey-headed Swamphen,Kranji Marshes,1.0,29-Aug-17
Grey-tailed Tattler,Pulau Tekong,3.0,2-Aug-21
Grey-tailed Tattler,Pulau Tekong,3.0,11-Aug-18
Grey-tailed Tattler,Pulau Tekong,3.0,14-Aug-18
Grey-tailed Tattler,Pulau Ubin,2.0,8-Dec-17
Grey-tailed Tattler,Pulau Ubin,2.0,20-Jan-19
Grey-tailed Tattler,Seletar Dam,1.0,7-Sep-16
Grey-tailed Tattler,Sungei Buloh Wetland Reserve,1.0,5-Dec-16
Gull-billed Tern,Jurong Lake Gardens,1.0,16-May-23
Gull-billed Tern,Lorong Halus Wetlands,1.0,30-Jun-19
Gull-billed Tern,Marina Barrage,1.0,25-Sep-22
Gull-billed Tern,Pulau Tekong,1.0,1-Oct-16
Gull-billed Tern,Pulau Ubin,1.0,14-Oct-18
Gull-billed Tern,Sea between Changi and Ubin,1.0,7-Sep-22
Gull-billed Tern,Seletar Dam,1.0,10-Sep-21
Gull-billed Tern,Straits of Johor,1.0,18-Sep-19
Gull-billed Tern,Straits of Singapore,2.0,5-May-18
Gull-billed Tern,Straits of Singapore,2.0,21-Sep-19
Gull-billed Tern,Sungei Buloh Wetland Reserve,1.0,8-Sep-21
Gull-billed Tern,Tanah Merah Coast Road,1.0,23-Sep-17
Hair-crested Drongo,Changi Business Park,1.0,26-Nov-19
Himalayan Vulture,Bukit Timah Nature Reserve,2.0,8-Feb-18
Himalayan Vulture,Bukit Timah Nature Reserve,2.0,24-Dec-23
Himalayan Vulture,Dairy Farm Nature Park,2.0,8-Dec-21
Himalayan Vulture,Dairy Farm Nature Park,2.0,10-Jan-20
Himalayan Vulture,Henderson Waves,1.0,14-Jan-24
Himalayan Vulture,Marina East Drive,1.0,30-Jan-21
Himalayan Vulture,Toa Payoh,1.0,5-Jan-16
Himalayan Vulture,Ulu Pandan Park Connector,1.0,15-Jan-24
Himalayan Vulture,West Coast Park,1.0,11-Jan-20
Himalayan/Oriental Cuckoo,Jurong Lake Gardens,1.0,17-Nov-15
Himalayan/Oriental Cuckoo,Kranji Marshes,1.0,21-Nov-18
Horsfield's Bronze Cuckoo,Kranji Marshes,2.0,28-May-17
Horsfield's Bronze Cuckoo,Kranji Marshes,2.0,11-Aug-17
Horsfield's Bronze Cuckoo,Lorong Halus Wetlands,1.0,19-Jul-15
Horsfield's Bronze Cuckoo,Marina Bay,1.0,26-May-18
Horsfield's Bronze Cuckoo,Marina East Drive,1.0,20-Aug-23
Horsfield's Bronze Cuckoo,Punggol End,1.0,24-Jul-17
Horsfield's Bronze Cuckoo,Tampines Eco Green,1.0,27-Jun-15
Horsfield's Bronze Cuckoo,Tuas South,2.0,28-May-15
Horsfield's Bronze Cuckoo,Tuas South,2.0,16-Jul-23
Indian Pond Heron,Bishan-Ang Mo Kio Park,1.0,23-Apr-18
Indian Pond Heron,Gardens by the Bay,1.0,16-Apr-21
Indian Pond Heron,Lorong Halus Wetlands,2.0,22-Apr-22
Indian Pond Heron,Lorong Halus Wetlands,2.0,19-Apr-23
Indian Pond Heron,Marina South Area,1.0,2-May-20
Indian Pond Heron,Pasir Ris Farmway 3,1.0,8-May-16
Indian Pond Heron,Peng Siang river,1.0,29-Mar-22
Japanese Tit,Coney Island,1.0,9-Apr-20
Japanese Tit,Jurong Lake Gardens,1.0,6-Nov-22
Japanese Tit,Tuas South,1.0,15-Nov-19
Japanese/Cinereous Tit ,Kallang River,1.0,16-Feb-20
Javan Pond Heron,Bishan-Ang Mo Kio Park,2.0,8-Apr-19
Javan Pond Heron,Bishan-Ang Mo Kio Park,2.0,4-Apr-21
Javan Pond Heron,Marina Bay East,1.0,29-Mar-20
Javan Pond Heron,Pasir Ris Farmway 1,1.0,18-Mar-23
Large Woodshrike,Jelutong Tower,1.0,22-Oct-18
Lesser Frigatebird,Hampstead Park,1.0,11-Oct-23
Lesser Frigatebird,Johor Straits,1.0,26-Apr-16
Lesser Frigatebird,Marina South Pier,1.0,9-Oct-15
Lesser Frigatebird,Singapore Straits,3.0,26-Apr-15
Lesser Frigatebird,Singapore Straits,3.0,22-Sep-18
Lesser Frigatebird,Singapore Straits,3.0,4-May-19
